tconst,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
tt0487078,movie,Brats: Our Journey Home,0,2006,90,Documentary
tt0487882,movie,Carrier,0,2006,103,Drama
tt0487891,movie,Day X,0,2005,81,"Horror,Sci-Fi"
tt0488151,movie,Lying,0,2006,94,Drama
tt0488515,movie,Cleópatra,0,2007,116,"Drama,Romance"
tt0488535,movie,Expired,0,2007,107,"Comedy,Drama,Romance"
tt0489015,movie,Dangerous Men,0,2005,80,"Action,Adventure,Crime"
tt0489023,movie,Delusions,0,2006,90,Drama
tt0489210,movie,Little Hercules in 3-D,0,2009,92,"Adventure,Family,Fantasy"
tt0489306,movie,The Take-Away Bride,0,2005,73,Drama
tt0489507,movie,Kulcsár & Haverok,0,2005,80,"Comedy,Documentary"
tt0489635,movie,Allegiance,0,2005,90,History
tt0489727,movie,Hotel Gondolín,0,2005,52,Documentary
tt0490086,movie,Big Stan,0,2007,105,"Action,Comedy"
tt0490114,movie,Dolphins,0,2007,112,"Action,Drama,Romance"
tt0490204,movie,Reign Over Me,0,2007,124,Drama
tt0490464,movie,Oorlogsrust,0,2006,75,Drama
tt0490579,movie,Dedication,0,2007,95,"Comedy,Drama,Romance"
tt0490937,movie,Framing Frankie,0,2005,110,Comedy
tt0491031,movie,Lincoln and Lee at Antietam: The Cost of Freedom,0,2006,90,Documentary
tt0491046,movie,Manolete,0,2008,92,"Biography,Drama,Romance"
tt0491109,movie,Purple Violets,0,2007,103,"Comedy,Drama,Romance"
tt0491138,movie,Schooled,0,2007,88,"Drama,Family"
tt0491145,movie,Shadow Puppets,0,2007,105,"Horror,Thriller"
tt0491159,movie,Spectropia,0,2006,\N,Sci-Fi
tt0491166,movie,Sportkill,0,2007,82,"Horror,Sport,Thriller"
tt0491176,movie,Surviving the Rush,0,2007,80,Comedy
tt0491839,movie,Límite,0,2006,85,Drama
tt0492464,movie,En el hoyo,0,2006,84,Documentary
tt0492478,movie,The Peace Tree,0,2005,48,"Drama,Family"
tt0492491,movie,Songbirds,0,2007,\N,Documentary
tt0492492,movie,Stay,0,2006,87,"Comedy,Drama,Romance"
tt0492502,movie,Wide Awake,0,2006,79,Documentary
tt0492912,movie,Subject Two,0,2006,93,"Drama,Thriller"
tt0493076,movie,Nina,0,2016,90,"Biography,Drama,Music"
tt0493146,movie,Desperate Crossing: The True Story of the Mayflower,0,2006,180,History
tt0493386,movie,8 of Diamonds,0,2006,89,Crime
tt0493388,movie,The Agonist,0,2007,\N,Comedy
tt0493849,movie,Purei,0,2005,77,Horror
tt0494224,movie,End of the Line,0,2007,95,"Horror,Thriller"
tt0494237,movie,In Search of Lovecraft,0,2008,98,Horror
tt0494277,movie,Strictly Sexual,0,2008,100,"Comedy,Drama,Romance"
tt0494501,movie,Hababam Sinifi Üç Buçuk,0,2005,98,"Comedy,Thriller"
tt0494656,movie,Black Eyed Dog,0,2006,91,Drama
tt0494746,movie,The Last Sect,0,2006,90,"Horror,Thriller"
