primaryName,originalTitle,birthYear,deathYear,primaryProfession
Patrick Owens,A Belfast Story,1989,0,director
Patrick Owens,A Belfast Story,1989,0,writer
Shahrzad Davani,A Girl Walks Home Alone at Night,1979,0,director
Mozhan Marnò,A Girl Walks Home Alone at Night,1980,0,director
Mozhan Marnò,A Girl Walks Home Alone at Night,1980,0,writer
Ana Lily Amirpour,A Girl Walks Home Alone at Night,1976,0,director
Ana Lily Amirpour,A Girl Walks Home Alone at Night,1976,0,writer
Curtis Franklin,Birds of a Feather,1975,0,writer
Curtis Franklin,Birds of a Feather,1975,0,director
Samuel Michael Casebolt,Goodbye Sun,1980,0,director
Samuel Michael Casebolt,Goodbye Sun,1980,0,writer
Evgen Car,Srecen za umret,1944,0,writer
Joey Evans,Art of Survival,1964,0,writer
Joey Evans,Art of Survival,1964,0,director
Audrey Elizabeth Evans,Art of Survival,1998,0,writer
Nitin Bali,Life Ki Toh Lag Gayi,1971,2018,writer
Lauren Schuchman,Rogue Hunter,1980,0,director
Lauren Schuchman,Rogue Hunter,1980,0,writer
Eric Coy,Shadowed,1982,0,writer
Eric Coy,Shadowed,1982,0,director
Marina de Van,Dark Touch,1971,0,writer
Marina de Van,Dark Touch,1971,0,director
J.W. Myers,A Christmas Tree Miracle,1967,0,director
Guy Camara,The Sound of the Spirit,1964,0,writer
Manfred Vainokivi,Tsirkuselaps,1964,0,director
Manfred Vainokivi,Valli Baar,1964,0,director
Rainer Meifert,Kein Grosses Ding,1967,0,director
Remo Bodei,Con cuore puro,1938,2019,writer
Choice Skinner,Wingman Inc.,1969,0,director
Christos Megarchiotis,I teliki apopliromi,1981,0,director
Rüdiger von Spies,Four Senses,1936,2020,writer
Rüdiger von Spies,Four Senses,1936,2020,director
Babak Payami,Manhattan Undying,1966,0,director
Babak Payami,Manhattan Undying,1966,0,writer
Darryn Lucio,Manhattan Undying,1971,0,writer
Lasse Karkjärvi,Mieletön elokuu,1958,0,writer
Taru Mäkelä,Mieletön elokuu,1959,0,director
Taru Mäkelä,Mieletön elokuu,1959,0,writer
Jari Nissinen,Mieletön elokuu,1964,0,writer
Raija Talvio,Mieletön elokuu,1959,0,writer
Václav Jirácek,Mieletön elokuu,1978,0,writer
Gasper Snuderl,Mieletön elokuu,1980,0,director
Michal Kollar,Mieletön elokuu,1978,0,director
Yuriy Arabov,Orda,1954,0,writer
Yuriy Arabov,Orda,1954,0,director
Andrey Proshkin,Orda,1969,0,director
Andrey Proshkin,Orda,1969,0,writer
Veronica Ricci,Snake Club: Revenge of the Snake Woman,1988,0,writer
Serge Ioan Celebidachi,Taming the Apex,1968,0,director
Serge Ioan Celebidachi,Taming the Apex,1968,0,writer
Hirokazu Koreeda,Soshite chichi ni naru,1962,0,director
Hirokazu Koreeda,Soshite chichi ni naru,1962,0,writer
Pierre Taki,Soshite chichi ni naru,1967,0,director
Lily Franky,Soshite chichi ni naru,1963,0,writer
Roi Carballido,Escombros,1979,0,director
Roi Carballido,Escombros,1979,0,writer
Jean-Claude Brisseau,La fille de nulle part,1944,2019,director
Jean-Claude Brisseau,La fille de nulle part,1944,2019,writer
Virginie Legeay,La fille de nulle part,1982,0,writer
Sebastián Silva,Crystal Fairy y el cactus mágico,1979,0,director
Sebastián Silva,Crystal Fairy y el cactus mágico,1979,0,writer
Zoltan Paul,Frauensee,1953,0,director
Zoltan Paul,Frauensee,1953,0,writer
Peter Geyer,Frauensee,1966,0,director
Peter Geyer,Frauensee,1966,0,writer
Simone de Vries,High on Jesus,1963,0,director
Simone de Vries,High on Jesus,1963,0,writer
Sergio Myers,The Zombinator,1969,0,director
Sergio Myers,The Zombinator,1969,0,writer
Athena Baumeister,Monster & Me,1997,2014,writer
Richard Martini,Earhart's Electra: Eyewitness Accounts of What Happened to Amelia Earhart's Plane,1955,0,director
Richard Martini,Earhart's Electra: Eyewitness Accounts of What Happened to Amelia Earhart's Plane,1955,0,writer
Jason Priestley,Cas & Dylan,1969,0,director
Michael B. Jordan,Fruitvale Station,1987,0,director
Caroline Lesley,Fruitvale Station,1978,0,director
Caroline Lesley,Fruitvale Station,1978,0,writer
Rachel Morrison,Fruitvale Station,1978,0,director
Ryan Coogler,Fruitvale Station,1986,0,director
Ryan Coogler,Fruitvale Station,1986,0,writer
Rouzbeh Rashidi,He,1980,0,director
Mauricio Mendoza,Snatched,1969,0,writer
Bashir Salahuddin,Snatched,1976,0,writer
Amy Schumer,Snatched,1981,0,writer
Trent Dickens,Snatched,1985,0,director
Cate Blanchett,Blue Jasmine,1969,0,writer
Andrew Dice Clay,Blue Jasmine,1957,0,writer
Javier Aguirresarobe,Blue Jasmine,1948,0,director
Bobby Cannavale,Blue Jasmine,1970,0,writer
Irit Levi,Blue Jasmine,1947,2014,writer
Brynn Thayer,Blue Jasmine,1949,0,writer
Brynn Thayer,Blue Jasmine,1949,0,director
Lisa Simon,Blue Jasmine,1951,2015,director
Sally Hawkins,Blue Jasmine,1976,0,writer
William V. Crouch,The Debacle,1950,0,writer
Christian Haas,White House Down,1975,0,director
James Vanderbilt,White House Down,1975,0,writer
Barbara Williams,White House Down,1953,0,writer
Ben Mankiewicz,White House Down,1967,0,writer
Jackie Geary,White House Down,1977,0,director
Falk Hentschel,White House Down,1985,0,writer
Reid Carolin,White House Down,1982,0,writer
Thorsten Rienth,White House Down,1969,0,director
Thorsten Rienth,White House Down,1969,0,writer
Julia Tasker,White House Down,1979,0,director
Moritz Schneider,White House Down,1982,0,director
Dadrian Flavors,White House Down,1985,0,director
Wendell Charles NeSmith,What Is Love?,1984,0,director
Anne Depétrini,Dépression et des potes,1969,0,writer
Anne Depétrini,Dépression et des potes,1969,0,director
Martin Reznícek,"Jan Krízek, sochy a vcely",1960,0,director
Alejandro Fadel,Los salvajes,1981,0,writer
Alejandro Fadel,Los salvajes,1981,0,director
Steve Lichtag,Posledni lovci,1954,0,director
Steve Lichtag,Posledni lovci,1954,0,writer
Stefan Künzler,Tempo Girl,1978,0,director
Dominik Locher,Tempo Girl,1982,0,writer
Dominik Locher,Tempo Girl,1982,0,director
Sivan Levy,Inch'Allah,1987,0,director
Nikolay Nikolov,Soft Bullets,1988,0,writer
Nasha Gagnebin,Looking for Gay Bollywood,1981,0,director
Nasha Gagnebin,Looking for Gay Bollywood,1981,0,writer
Colin Carter,Only I...,1992,0,director
Hesham Abdel Hamid,Mohimma Saaba,1962,0,writer
Hesham Abdel Hamid,Mohimma Saaba,1962,0,director
Drasko Djurovic,As pik,1962,0,director
James Sallis,The Detective's Lover,1944,0,writer
James Alire,The Detective's Lover,1981,0,writer
Arthur Riordan,The Enigma of Frank Ryan,1966,0,writer
Faramarz Gharibian,The Sinners,1941,0,director
Sam Gharibian,The Sinners,1979,0,director
Fiona Landers,Unicorn Store,1985,0,writer
Janie Haddad Tompkins,Unicorn Store,1972,0,director
Janie Haddad Tompkins,Unicorn Store,1972,0,writer
Thomas Arslan,Gold,1962,0,director
Thomas Arslan,Gold,1962,0,writer
Alessandro Marinelli,Pino Masciari - storia di un imprenditore calabrese,1977,0,director
Alessandro Marinelli,Pino Masciari - storia di un imprenditore calabrese,1977,0,writer
Miroslav Mandic,Adria Blues,1955,0,writer
Miroslav Mandic,Adria Blues,1955,0,director
Soundarya R. Ashwin,Kochadaiiyaan,1984,0,director
Eloy Lozano,A nova aldea,1953,2009,director
Eloy Lozano,A nova aldea,1953,2009,writer
Matthias X. Oberg,Ein Ton Blau,1969,0,director
Matthias X. Oberg,Ein Ton Blau,1969,0,writer
Zelda Williams,Never,1989,0,director
Jay Harper,Orion,1991,0,director
Matthew Ewald,Athena,1982,0,writer
Matthew Ewald,Athena,1982,0,director
Vanelle,Athena,1972,0,writer
Deddy Mizwar,Tanah Surga... Katanya,1955,0,director
Danial Rifki,Tanah Surga... Katanya,1982,0,director
Danial Rifki,Tanah Surga... Katanya,1982,0,writer
Liliana Torres,Family Tour,1980,0,writer
Liliana Torres,Family Tour,1980,0,director
Douglas Elford-Argent,Echo Dr.,1976,0,director
Douglas Elford-Argent,Echo Dr.,1976,0,writer
Corey Todd Jones,Echo Dr.,1981,0,writer
Anxo Fernández Rodríguez,"Os 15,000 de Newark",1961,0,director
Erdem Tepegoz,Zerre,1982,0,director
Erdem Tepegoz,Zerre,1982,0,writer
Aleksi Bardy,Leijonasydän,1970,0,writer
Sándor Csoóri,Leijonasydän,1930,2016,writer
Jasper Pääkkönen,Leijonasydän,1980,0,writer
Kauko Röyhkä,Leijonasydän,1959,0,writer
Stan Saanila,Leijonasydän,1968,0,writer
Stan Saanila,Leijonasydän,1968,0,director
Dome Karukoski,Leijonasydän,1976,0,director
Geethu Mohandas,Liar's Dice,1981,0,writer
Geethu Mohandas,Liar's Dice,1981,0,director
Francesco Apolloni,Third Person,1974,0,writer
Francesco Apolloni,Third Person,1974,0,director
Nils Dünker,Third Person,1968,0,writer
Michael Margotta,Third Person,1946,0,director
Michael Margotta,Third Person,1946,0,writer
Samuel Nozik,Third Person,1988,0,director
Fabrizio Biggio,Third Person,1974,0,writer
Fabrizio Biggio,Third Person,1974,0,director
Benjamin Johns,Traveller,1975,0,director
Benjamin Johns,Traveller,1975,0,writer
Bekah Mulberg,Little Galicia,1994,0,director
Nils Oliveto,Duplicando,1974,0,director
Matthew Garth II,Smoke N Love,1977,0,director
Fernando Merinero,Haz de tu vida una obra de arte,1958,0,director
Fernando Merinero,Haz de tu vida una obra de arte,1958,0,writer
Erik J. Berg,Silent Night,1991,0,director
Erik J. Berg,Silent Night,1991,0,writer
Steven C. Miller,Silent Night,1981,0,director
Steven C. Miller,Silent Night,1981,0,writer
Drew Howerton,The Daughter,1979,0,writer
Michael Teh,The Daughter,1969,0,director
Fabian Miebach,Der Gärtner,1991,0,director
Javad Jalali,Parinaaz,1977,0,director
Riccardo Gabrielli R.,La Lectora,1975,0,director
Riccardo Gabrielli R.,La Lectora,1975,0,writer
Christopher Peters,Rona & Nele,1989,0,director
Christopher Peters,Rona & Nele,1989,0,writer
Silvia Chiogna,Rona & Nele,1979,0,director
Silvia Chiogna,Rona & Nele,1979,0,writer
Sidra Smith,Free Angela and All Political Prisoners,1971,0,writer
Rob Stewart,Revolution,1979,2017,director
Rob Stewart,Revolution,1979,2017,writer
Hiroshi Kashiwagi,Infinity & Chashu Ramen,1922,2019,writer
Rob Imbs,Game Changers,1981,0,writer
Rob Imbs,Game Changers,1981,0,director
Urszula Antoniak,Nude Area,1968,0,writer
Urszula Antoniak,Nude Area,1968,0,director
Goran Milev,Babylon,1970,0,director
Violeta Ayala,Cocaine Prison,1978,0,writer
Violeta Ayala,Cocaine Prison,1978,0,director
Jeff Prince,Distraction,1986,0,director
Anne Bürger,It's Not About Fame,1976,0,director
Florin Piersic Jr.,Killing Time,1968,0,writer
Florin Piersic Jr.,Killing Time,1968,0,director
Tao Guo,Bai wan ju e,1969,0,director
Paul Morrissey,News from Nowhere,1938,0,director
Paul Morrissey,News from Nowhere,1938,0,writer
Tom Dart,Splash Area,1955,2016,director
Joy Tinniswood,The Spirit of Albion,1976,2017,writer
Justin DiSandro,Malcolm's (Sixth),1985,0,writer
Justin DiSandro,Malcolm's (Sixth),1985,0,director
Leonardo Machado,A Oeste do Fim do Mundo,1976,2018,writer
Leonardo Machado,A Oeste do Fim do Mundo,1976,2018,director
Bibiana Ballbé,La maniobra de Heimlich,1977,0,writer
Bibiana Ballbé,La maniobra de Heimlich,1977,0,director
Enrique Vila-Matas,La maniobra de Heimlich,1948,0,director
Enrique Vila-Matas,La maniobra de Heimlich,1948,0,writer
Jochen Senf,5 vor 12,1942,2018,writer
Alejandro Solar Luna,El paciente interno,1968,0,director
Alejandro Solar Luna,El paciente interno,1968,0,writer
Biene Pilavci,Alleine Tanzen,1977,0,director
Biene Pilavci,Alleine Tanzen,1977,0,writer
K.K. Raina,Bhaag milkha bhaag,1952,0,writer
Rakeysh Omprakash Mehra,Bhaag milkha bhaag,1963,0,director
Rakeysh Omprakash Mehra,Bhaag milkha bhaag,1963,0,writer
Farhan Akhtar,Bhaag milkha bhaag,1974,0,writer
Yograj Singh,Bhaag milkha bhaag,1958,0,director
Ahmad Natche,Metran men hada al-turab,1974,0,director
Ahmad Natche,Metran men hada al-turab,1974,0,writer
Haylar Garcia,An American Terror,1971,0,writer
Gil Cates Jr.,Jobs,1969,0,director
Mark Kassen,Jobs,1971,0,director
Robert Pine,Jobs,1941,0,director
Carlo Conti,Sarebbe stato facile,1961,0,writer
Graziano Salvadori,Sarebbe stato facile,1964,0,director
Graziano Salvadori,Sarebbe stato facile,1964,0,writer
Joseph Tan,Time to Kill,1979,2009,director
A.J. Gordon,All the Wilderness,1984,0,writer
Linda Bloodworth-Thomason,Bridegroom,1947,0,writer
Linda Bloodworth-Thomason,Bridegroom,1947,0,director
Joston Theney,Axeman at Cutter's Creek,1979,0,director
Joston Theney,Axeman at Cutter's Creek,1979,0,writer
Charles Dennis,Chicanery,1946,0,writer
Charles Dennis,Chicanery,1946,0,director
Michal Viewegh,Svatá Ctverice,1962,0,writer
Anian Zollner,Unfinished Business,1969,0,writer
Özkan Arslan,Unfinished Business,1976,0,writer
Özkan Arslan,Unfinished Business,1976,0,director
Marc Zwinz,Unfinished Business,1974,0,writer
June Diane Raphael,Unfinished Business,1980,0,writer
Franklyn,Death Is No Escape,1975,0,director
Kevin Kolack,Blue Ruin,1969,0,director
Jeremy Saulnier,Blue Ruin,1976,0,director
Nataasha Van Kampen,Days and Nights,1984,2012,director
Nataasha Van Kampen,Days and Nights,1984,2012,writer
Gregory Behrens,Days and Nights,1989,0,director
Gregory Behrens,Days and Nights,1989,0,writer
Carles Francino,Antonio Vega. Tu voz entre otras mil,1958,0,director
Alberto García-Alix,Antonio Vega. Tu voz entre otras mil,1956,0,director
Alberto García-Alix,Antonio Vega. Tu voz entre otras mil,1956,0,writer
Anne-Marie Etienne,Sous le figuier,1956,0,writer
Anne-Marie Etienne,Sous le figuier,1956,0,director
Dhanush,Raanjhanaa,1983,0,director
Abhay Deol,Raanjhanaa,1976,0,writer
Clemens von Wedemeyer,Muster,1974,0,director
Clemens von Wedemeyer,Muster,1974,0,writer
Valentina Leduc Navarro,Las oscuras primaveras,1969,0,director
Valentina Leduc Navarro,Las oscuras primaveras,1969,0,writer
José María Yazpik,Las oscuras primaveras,1970,0,director
Carlos Iglesias,"2 francos, 40 pesetas",1955,0,director
Carlos Iglesias,"2 francos, 40 pesetas",1955,0,writer
Raegan Matthews,"Suds County, USA",1975,0,writer
Bing Wang,San zimei,1967,0,director
Nancy Meyers,The Intern,1949,0,writer
Nancy Meyers,The Intern,1949,0,director
Tegan and Sara,The Intern,1980,0,writer
Tegan Quin,The Intern,1980,0,director
Anders Holm,The Intern,1981,0,writer
John Morgan,The Intern,1990,0,director
Meghan Trainor,The Intern,1993,0,writer
Ondrej Havel,Vendeta,1994,0,writer
Bill Plympton,Cheatin',1946,0,director
Bill Plympton,Cheatin',1946,0,writer
Mengyi Xu,Cheatin',1988,0,director
Christopher J. Hansen,Where We Started,1971,0,writer
Christopher J. Hansen,Where We Started,1971,0,director
Miguel Alcantud,Diamantes negros,1971,0,director
Miguel Alcantud,Diamantes negros,1971,0,writer
Daniel Muriel,Diamantes negros,1976,0,writer
Rita Toledo,O Uivo da Gaita,1982,0,writer
Rita Toledo,O Rio nos Pertence,1982,0,writer
Eddie Brown Jr.,Camera Phone,1978,0,director
Roderick Monroe,Camera Phone,1977,0,writer
Stefan Hering,Abseitsfalle,1972,0,director
Stefan Hering,Abseitsfalle,1972,0,writer
Toomas Lepp,Eestlased Kremlis - NSV Liidu lagunemise lugu,1950,0,director
Clas Lindberg,Stranger Road,1956,0,director
Clas Lindberg,Stranger Road,1956,0,writer
Benjamin Viré,La cicatrice,1980,0,director
Benjamin Viré,La cicatrice,1980,0,writer
Kaushik Ganguly,Laptop,1968,0,director
Kaushik Ganguly,Laptop,1968,0,writer
Jessica Sonneborn,The House Across the Street,1978,0,writer
Mathew Fisher,The House Across the Street,1983,0,director
Albert Sánchez Piñol,El bosc,1964,0,writer
James Bickert,Frankenstein Created Bikers,1967,0,director
James Bickert,Frankenstein Created Bikers,1967,0,writer
Marcus Koch,Frankenstein Created Bikers,1977,0,director
Tristan Risk,Frankenstein Created Bikers,1980,0,writer
Andy Koontz,Ekimmu: The Dead Lust,1975,0,director
Andy Koontz,Ekimmu: The Dead Lust,1975,0,writer
Ron Petronicolos,The Miracle Man,1977,0,director
Les Norris,The Fog of War,1969,0,writer
Les Norris,The Fog of War,1969,0,director
Yvo René Scharf,My Life Is a Video,1979,0,writer
Eugene Ashe,Homecoming,1965,0,writer
Eugene Ashe,Homecoming,1965,0,director
Renata Sancho,Dias Contados,1973,0,director
Yuelun Wang,Xiong mao da xia,1973,0,director
Yuelun Wang,Xiong mao da xia,1973,0,writer
Daniel Salazar III,The Last Intervention,1978,0,director
Jeff Santo,Dead in 5 Heartbeats,1963,0,writer
Jeff Santo,Dead in 5 Heartbeats,1963,0,director
Ken Kwek,Sex.Violence.FamilyValues.,1979,0,writer
Ken Kwek,Sex.Violence.FamilyValues.,1979,0,director
Robyn C. Miller,The Immortal Augustus Gladstone,1966,0,writer
Robyn C. Miller,The Immortal Augustus Gladstone,1966,0,director
Gerry Davenport,Petite Chardonnay,1965,0,writer
Scot Weaver,Newhighers,1961,0,director
Noaz Deshe,Lost River,1977,0,director
Shannon Plumb,Lost River,1970,0,director
Shannon Plumb,Lost River,1970,0,writer
Rob Zabrecky,Lost River,1968,0,writer
Reda Kateb,Lost River,1977,0,director
Reda Kateb,Lost River,1977,0,writer
Tali Barde,For No Eyes Only,1990,0,director
Matt Muir,Thank You a Lot,1978,0,director
Matt Muir,Thank You a Lot,1978,0,writer
Katrin Bühring,Shadows in the Distance,1977,0,writer
Zulfikar Musakov,Churgoschin,1958,0,director
Zulfikar Musakov,Churgoschin,1958,0,writer
Billy Rovzar,Después de Lucía,1976,0,writer
Michel Franco,Después de Lucía,1979,0,writer
Michel Franco,Después de Lucía,1979,0,director
José Alberto López,Después de Lucía,1980,0,writer
Stephan Apelgren,Eskil & Trinidad,1954,0,director
Stephan Apelgren,Eskil & Trinidad,1954,0,writer
Eike Besuden,"Faust II reloaded - Den lieb ich, der Unmögliches begehrt!",1948,0,director
Eike Besuden,"Faust II reloaded - Den lieb ich, der Unmögliches begehrt!",1948,0,writer
Konrad Kästner,Giftchen,1984,0,director
Konrad Kästner,Giftchen,1984,0,writer
Chris Morrissey,Heavy Makeup,1972,0,director
Jessica Velle,Heavy Makeup,1986,0,writer
Andrew Lawrence,Confessions of a Womanizer,1988,0,director
Andrew Lawrence,Confessions of a Womanizer,1988,0,writer
Miguel Ali,Confessions of a Womanizer,1980,0,writer
Miguel Ali,Confessions of a Womanizer,1980,0,director
Lieh Lee,Ni guang fei xiang,1958,0,director
Jung-chi Chang,Ni guang fei xiang,1980,0,director
Jung-chi Chang,Ni guang fei xiang,1980,0,writer
Eric Styles,Legendary,1967,0,director
Eric Styles,Legendary,1967,0,writer
Andy Briggs,Legendary,1972,0,writer
Murray Clive Walker,Legendary,1976,0,writer
Udana Fonseka,Re-Entry: Grey Zone,1984,0,director
Thaddaeus Scheel,Stuck,1965,0,director
Annemarie Jacir,Lamma shoftak,1974,0,writer
Annemarie Jacir,Lamma shoftak,1974,0,director
Stan Lai,Zhe er shi xiang ge li la,1954,0,writer
Stan Lai,Zhe er shi xiang ge li la,1954,0,director
Emilio Roso,Tumbleweed: A True Story,1976,0,writer
Tyler Ferraro,All Summers End,1995,0,writer
Destin Daniel Cretton,Short Term 12,1978,0,director
Destin Daniel Cretton,Short Term 12,1978,0,writer
Emily Arlook,Miles to Go,1990,0,writer
Quincy Rose,Miles to Go,1974,0,writer
Katarzyna Roslaniec,Bejbi blues,1980,0,director
Katarzyna Roslaniec,Bejbi blues,1980,0,writer
Sharice Henry Chasi,Hiding in Plain Sight,1969,0,director
Aatif Nawaz,Amina,1984,0,writer
Aatif Nawaz,Amina,1984,0,director
Victoria Negri,The Fever and the Fret,1986,0,writer
Sergio Fernández,La piscina,1976,0,director
Rúnar Orri Elíasson,Hemma,1998,0,director
Yuval Semo,A Tale of a Wolf,1979,0,director
Masahiro Muramatsu,Rongu samâ sukûru,1972,0,director
Masahiro Muramatsu,Rongu samâ sukûru,1972,0,writer
Kenneth Stahl,Manchester High: If These Lockers Could Talk,1982,0,director
Kenneth Stahl,Manchester High: If These Lockers Could Talk,1982,0,writer
Hadzi-Aleksandar Djurovic,Ljubav dolazi kasnije,1988,0,director
Ljiljana Habjanovic Djurovic,Ljubav dolazi kasnije,1953,0,writer
Luke Hupton,"27, Memory Lane",1989,0,writer
Luke Hupton,"27, Memory Lane",1989,0,director
Jan Cvitkovic,Arheo,1966,0,director
Jan Cvitkovic,Arheo,1966,0,writer
Brad Jacobowitz,The Pizza Boy,1981,0,director
Brad Jacobowitz,The Pizza Boy,1981,0,writer
Astrid Schult,Die Vermittler,1979,0,director
Astrid Schult,Die Vermittler,1979,0,writer
Masahiro Muramatsu,Hareta ie,1972,0,director
Masahiro Muramatsu,Hareta ie,1972,0,writer
Brad Leo Lyon,Monsters on Main Street,1982,0,director
Saimir Kumbaro,Ne dhe Lenini,1945,0,director
Brian Clement,Project Breakwater,1977,0,director
Brian Clement,Project Breakwater,1977,0,writer
Andrew Hyatt,The Last Light,1982,0,writer
Andrew Hyatt,The Last Light,1982,0,director
Michael Wray,Teenage Kicks,1982,0,writer
Ruth Stubbings,Teenage Kicks,1980,0,writer
William Garcia,The Shift,1964,0,director
Lee Cipolla,The Shift,1983,0,director
Lee Cipolla,The Shift,1983,0,writer
Jirí Chlumský,7 dni hrichu,1958,0,director
Adi Alfa,Tamla Rose,1986,0,writer
Travis Aaron Wade,The Forger,1975,0,writer
Rohan Sabharwal,Where the Heart Is,1979,0,director
Emerson Collins,Del Shores: Sordid Confessions,1984,0,director
Margrit Kennedy,Komissaari,1939,2013,writer
Nemanja Babic,Normalno zivljenje,1980,0,director
Jan Bilodjeric,Normalno zivljenje,1977,0,director
Jan Bilodjeric,Normalno zivljenje,1977,0,writer
Mary Elizabeth Ellis,The Truth About Lies,1979,0,writer
Kharaj Mukherjee,Special Chabbis,1963,0,writer
Suumeet Darshan,Special Chabbis,1995,0,director
Alfonso Sánchez,El mundo es nuestro,1978,0,director
Mari Paz Sayago,El mundo es nuestro,1972,0,writer
Ilian Metev,Poslednata lineika na Sofia,1981,0,director
Karel Ctverácek,Vcely letely krásne,1970,0,director
Karel Ctverácek,Vcely letely krásne,1970,0,writer
Christoph Grunert,Weil Heute Dein Geburtstag Ist - 100 Jahre Erich,1970,0,director
Mitl Valdez,200 años después,1949,0,director
Mitl Valdez,200 años después,1949,0,writer
Flávio Cândido,Calangueiros - Uma Viagem Caipira pelo Vale do Paraíba,1957,0,director
Flávio Cândido,Calangueiros - Uma Viagem Caipira pelo Vale do Paraíba,1957,0,writer
Merlin Dervisevic,Cruel & Unusual,1968,0,director
Immanuel Degn,Chip of Eternity,1982,0,director
Immanuel Degn,Chip of Eternity,1982,0,writer
Marc-Henri Wajnberg,Kinshasa Kids,1953,0,director
Marc-Henri Wajnberg,Kinshasa Kids,1953,0,writer
Joel Ross,In the Name of the King: The Last Mission,1983,0,writer
Ben Woodiwiss,In the Name of the King: The Last Mission,1975,0,writer
Ben Woodiwiss,In the Name of the King: The Last Mission,1975,0,director
Victoria Keon-Cohen,In the Name of the King: The Last Mission,1989,0,writer
Victoria Keon-Cohen,In the Name of the King: The Last Mission,1989,0,director
Matías Piñeiro,Viola,1982,0,director
Matías Piñeiro,Viola,1982,0,writer
Carlos Sorin,Días de pesca,1944,0,director
Carlos Sorin,Días de pesca,1944,0,writer
Asoka Handagama,Ini Avan,1962,0,director
Asoka Handagama,Ini Avan,1962,0,writer
Thai Hoa,Lay chong nguoi ta,1974,0,writer
Piercarlo Paderno,Aurora: Il sogno della liberazione,1978,0,director
Jeremy Ray Valdez,Dreamer,1980,0,director
Alberto Iglesias,Enxaneta,1975,0,writer
Edward Stelder,Hemel op Aarde,1967,0,writer
Anna Capraro,One Last Look,1992,0,writer
Steven Del Castro,Pale Blue Light,1973,0,director
Ava Leigh Stewart,Paradise Garden,1978,0,director
Ava Leigh Stewart,Paradise Garden,1978,0,writer
Stijn Jonkhart,Quantum Zeno,1987,0,director
Daniel Rossano,Sunday,1991,0,writer
Gerald Di Pego,Words and Pictures,1941,0,writer
Christian Scheider,Words and Pictures,1990,0,director
Kenny Wheeler,South of Black Drink Crier,1930,2014,director
Kenny Wheeler,South of Black Drink Crier,1930,2014,writer
Mark Letchumanan,Chasing Canada,1983,0,director
Nurbek Egen,Pustoy dom,1975,0,director
Nurbek Egen,Pustoy dom,1975,0,writer
Cherie Currie,Hansel & Gretel: Warriors of Witchcraft,1959,0,writer
Charlotte Gainsbourg,Nymphomaniac: Vol. II,1971,0,writer
Kate Ashfield,Nymphomaniac: Vol. II,1972,0,writer
Tim Großkurth,Nymphomaniac: Vol. II,1974,0,director
Aner Preminger,HaHaim Bentaim,1955,0,director
Aner Preminger,HaHaim Bentaim,1955,0,writer
Emanuel Shechter,HaHaim Bentaim,1984,0,director
Riad Sattouf,Jacky au royaume des filles,1978,0,director
Riad Sattouf,Jacky au royaume des filles,1978,0,writer
Avi Liani,Jacky au royaume des filles,1984,0,writer
Frank Gigante,Mamma's Trilogy,1968,0,director
Nick Puga,After the Wedding,1979,0,writer
AJ Bowen,The Sacrament,1977,0,writer
Ti West,The Sacrament,1980,0,director
Ti West,The Sacrament,1980,0,writer
Heather Robb,The Sacrament,1983,0,writer
Kate Lyn Sheil,The Sacrament,1985,0,writer
Shaun Clay,The Sacrament,1988,0,writer
Goran Vojnovic,Cefurji raus!,1980,0,writer
Goran Vojnovic,Cefurji raus!,1980,0,director
Stefanie Grassley,Dragonchaser,1981,0,writer
Fanny-Laure Malo,Sarah préfère la course,1987,0,director
Chloé Robichaud,Sarah préfère la course,1988,0,director
Chloé Robichaud,Sarah préfère la course,1988,0,writer
Ahmet Boyacioglu,Küf,1953,0,director
Heather Schlitt,Coyote,1981,0,writer
Emir Baigazin,Uroki garmonii,1984,0,director
Emir Baigazin,Uroki garmonii,1984,0,writer
Devery Jacobs,Rhymes for Young Ghouls,1993,0,writer
Devery Jacobs,Rhymes for Young Ghouls,1993,0,director
Zuhair Kashmeri,The Golden Pen,1946,2018,writer
PJ Madam,Burning Man 2.0,1980,0,director
PJ Madam,Burning Man 2.0,1980,0,writer
Denis Côté,Vic + Flo ont vu un ours,1973,0,director
Denis Côté,Vic + Flo ont vu un ours,1973,0,writer
R. Scott Leisk,Mahogany Sunrise,1971,0,writer
R. Scott Leisk,Mahogany Sunrise,1971,0,director
Sumner Jules Glimcher,"A Taste of Provence: History, Art & Culture",1924,2018,director
Sumner Jules Glimcher,"A Taste of Provence: History, Art & Culture",1924,2018,writer
Haylen Jensen,Haunt,1985,0,director
Ben Pickering,The Smoke,1979,0,director
Eke Chukwu,The Smoke,1982,0,writer
Gomes Garcia,The Smoke,1992,0,director
Gomes Garcia,The Smoke,1992,0,writer
Rustam Khamdamov,Meshok bez dna,1944,0,director
Rustam Khamdamov,Meshok bez dna,1944,0,writer
Thaddeus Jaworsky,Stalking,1983,0,director
Sofía Wilhelmi,Hoy,1983,0,writer
Juli Jackson,45RPM,1982,0,director
Dave Ellis Grim,45RPM,1971,0,director
Ron Fulmer,Awesome Girl Gang Street Fighter,1980,0,director
Marion Kerr,Dark Skies,1979,0,writer
Marion Kerr,Dark Skies,1979,0,director
Jessica Borden,Dark Skies,1983,0,writer
Kevin London,Dark Skies,1986,0,writer
J.D. Chua,Dark Skies,1982,0,writer
J.D. Chua,Dark Skies,1982,0,director
