primaryName,originalTitle,birthYear,deathYear,primaryProfession
Rodney Patrick Vaccaro,Bigger Than the Sky,1952,0,writer
R. Clifford Olson,Bigger Than the Sky,1983,0,director
Daniel Cooperbey,Whirlygirl,1956,0,director
Daniel Clowes,Art School Confidential,1961,0,writer
Shelly Cole,Art School Confidential,1975,0,director
Jesec Griffin,Art School Confidential,1976,0,writer
Ervin Drake,The Matador,1919,2015,writer
Antonio Zavala Kugler,The Matador,1965,0,director
Brano Holicek,Der Rote Baron,1985,0,director
Klaus Merkel,Der Rote Baron,1957,0,director
Nikolai Müllerschön,Der Rote Baron,1958,0,director
Nikolai Müllerschön,Der Rote Baron,1958,0,writer
Igor Chmela,Der Rote Baron,1971,0,writer
Gerd Schneider,Der Rote Baron,1974,0,director
Gerd Schneider,Der Rote Baron,1974,0,writer
Rostislav Novák Jr.,Der Rote Baron,1979,0,writer
Nicole Sacker,The Upside of Anger,1974,0,director
Nicole Sacker,The Upside of Anger,1974,0,writer
Ryan Key,The Upside of Anger,1979,0,writer
Ryan Davis,Shortbus,1982,0,director
Ryan Davis,Shortbus,1982,0,writer
Sook-Yin Lee,Shortbus,1966,0,writer
Sook-Yin Lee,Shortbus,1966,0,director
John Cameron Mitchell,Shortbus,1963,0,director
John Cameron Mitchell,Shortbus,1963,0,writer
Miriam Shor,Shortbus,1971,0,director
Tristan Taormino,Shortbus,1971,0,director
Tristan Taormino,Shortbus,1971,0,writer
M. Sean Kaminsky,Shortbus,1970,0,director
Jonathan Caouette,Shortbus,1972,0,director
Heather Wellik,Shortbus,1972,0,writer
Geremy Jasper,Shortbus,1975,0,director
Geremy Jasper,Shortbus,1975,0,writer
Lajos Koltai,Sorstalanság,1946,0,director
József Gyabronka,Sorstalanság,1953,0,writer
Gergely Kocsis,Sorstalanság,1975,0,director
Gergely Kocsis,Sorstalanság,1975,0,writer
Béla Paudits,Sorstalanság,1949,2018,writer
András Szegö,Sorstalanság,1948,0,writer
Péter Vida,Sorstalanság,1973,0,director
József Lukács,Sorstalanság,1937,0,writer
Imre Kertész,Sorstalanság,1929,2016,writer
József Jámbor,Sorstalanság,1963,0,director
Zsolt Dér,Sorstalanság,1989,0,writer
Noah Baumbach,The Squid and the Whale,1969,0,writer
Noah Baumbach,The Squid and the Whale,1969,0,director
Jeff Daniels,The Squid and the Whale,1955,0,writer
Reverge Anselmo,The Squid and the Whale,1962,0,director
Reverge Anselmo,The Squid and the Whale,1962,0,writer
Nils Benson,The Squid and the Whale,1966,0,director
Jesse Eisenberg,The Squid and the Whale,1983,0,writer
Halley Feiffer,The Squid and the Whale,1984,0,writer
Walter Foote,The Squid and the Whale,1955,0,director
Walter Foote,The Squid and the Whale,1955,0,writer
Andrew Lauren,The Squid and the Whale,1969,0,writer
Michael Santiago,The Squid and the Whale,1944,0,writer
Michael Santiago,The Squid and the Whale,1944,0,director
Owen Kline,The Squid and the Whale,1991,0,director
Owen Kline,The Squid and the Whale,1991,0,writer
Benjamin Smolen,The Squid and the Whale,1987,0,writer
Erich Eilenberger,The Squid and the Whale,1982,0,writer
Thomas Harris,Hannibal Rising,1940,0,writer
Jos Houben,Hannibal Rising,1939,0,writer
Marko Igonda,Hannibal Rising,1974,0,writer
Byron Janis,Hannibal Rising,1928,0,writer
Richard Leaf,Hannibal Rising,1967,0,director
Richard Leaf,Hannibal Rising,1967,0,writer
Peter Webber,Hannibal Rising,1968,0,director
Elizabeth Bluhm,The Promise of Perfume,1999,0,writer
Robert Morgan,Romance & Cigarettes,1972,0,writer
Jake Cannavale,Romance & Cigarettes,1995,0,writer
Mark Moss,Superhero Excelsior,1968,0,writer
Raymond Harrington,Superhero Excelsior,1966,0,director
Raymond Harrington,Superhero Excelsior,1966,0,writer
Stefan de Vries,Americano,1970,0,director
Stefan de Vries,Americano,1970,0,writer
Anna Bocci,Americano,1973,0,writer
Jeff Goldstein,The Reality Trap,1956,0,director
Jeff Goldstein,The Reality Trap,1956,0,writer
Paul Schneider,Elizabethtown,1976,0,writer
Jerome Kugan,Tokyo Magic Hour,1975,0,writer
Koji Imaizumi,Tokyo Magic Hour,1959,0,director
Koji Imaizumi,Tokyo Magic Hour,1959,0,writer
Carl T. Evans,Walking on the Sky,1968,0,director
Darko Mitrevski,Bal-Can-Can,1971,0,director
Darko Mitrevski,Bal-Can-Can,1971,0,writer
Zeljko Bozic,Bal-Can-Can,1974,2006,writer
Verica Nedeska,Bal-Can-Can,1978,0,writer
Wanda Sykes,Monster-in-Law,1964,0,writer
Francesca Terrenato,Monster-in-Law,1968,0,writer
Jimmy Jean-Louis,Monster-in-Law,1968,0,writer
Tony Mark,Ultraviolet,1967,0,director
Kurt Wimmer,Ultraviolet,1964,0,writer
Kurt Wimmer,Ultraviolet,1964,0,director
Steven Calcote,Ultraviolet,1973,0,director
Russell Wait,Ultraviolet,1977,0,writer
Pete Spurrier,Ultraviolet,1972,0,writer
Kieron Dwyer,Ultraviolet,1967,0,writer
Marian Quinn,32A,1964,0,writer
Marian Quinn,32A,1964,0,director
Noah Bean,Stay,1978,0,director
Riley G. Matthews Jr.,Stay,1960,0,director
Mike Kirsch,Stay,1977,0,director
Alan Kenny-Rudolph,Stay,1978,0,writer
Chris Hanel,American Scary,1981,0,writer
Jerry G. Bishop,American Scary,1936,2013,writer
Joseph M. Monks,American Scary,1968,0,writer
Joseph M. Monks,American Scary,1968,0,director
Alan F. Milair,American Scary,1931,2012,writer
Jonathan Jakubowicz,Secuestro express,1978,0,director
Jonathan Jakubowicz,Secuestro express,1978,0,writer
Casey Wickson,The Devil's Muse,1978,0,writer
Dame Darcy,The Devil's Muse,1971,0,writer
Craig Chester,Adam & Steve,1965,0,writer
Matt Farnsworth,Iowa,1975,0,director
Amanda Tepe,Iowa,1977,0,director
Amanda Tepe,Iowa,1977,0,writer
Barbara Ricci,Bocce Balls,1957,0,director
Barbara Ricci,Bocce Balls,1957,0,writer
Craig Anton,D-War,1962,0,writer
Hyung-rae Shim,D-War,1958,0,director
Billy Gardell,D-War,1969,0,writer
James Nguyen,Replica,1966,0,writer
James Nguyen,Replica,1966,0,director
John David Braddock,Replica,1979,0,director
Joey Boombotze,Replica,1967,0,writer
Dzhanik Fayziev,Turetskiy gambit,1961,0,director
Valdis Pelsh,Turetskiy gambit,1967,0,writer
Boris Akunin,Turetskiy gambit,1956,0,writer
Alberto Yaccelini,"Gombrowicz, l'Argentine et moi",1943,0,director
Alberto Yaccelini,"Gombrowicz, l'Argentine et moi",1943,0,writer
Jeff Dylan Graham,Home Sick,1983,0,writer
Brian Melton,Little Chicago,1980,0,director
Matt King,Malice in Wonderland,1968,0,writer
Steve Furst,Malice in Wonderland,1967,0,writer
Jarone Macklin-Page,Malice in Wonderland,1988,0,writer
René Brar,Tristan + Isolde,1977,0,director
René Brar,Tristan + Isolde,1977,0,writer
Barbora Kodetová,Tristan + Isolde,1970,0,writer
